MLS Number,Last Change Timestamp,Type,Status,List Price,Street #,Street Dir,Street Name,Street Type,Unit #,Building #,City,State,Zip Code,County,Parcel Number,Locale,Complex Name,Incorporated,Total Baths,Total Bedrooms,Bathrooms Total Basement,Bathrooms Total Lower,Bathrooms Total Main,Bathrooms Total Upper,Bedrooms Total Basement,Bedrooms Total Lower,Bedrooms Total Main,Bedrooms Total Upper,SqFt Above,SqFt Finished,SqFt Total,Date Measured,Measurement Source,PSF Total,PSF Finished,PSF Above Grade,Garage Spaces Count,Total Parking Spaces,Total Garage Spaces,Total Carport Spaces,Total Offstreet Spaces,Total Reserved Spaces,Total RV Spaces,Parking Features,Property Information,Construction Details,Interior Features,Smart Home Features,Laundry,Flooring,Appliances,# Fireplaces,Fireplace Types,Fireplace Locations,Heating Type,Fuel Type,Cooling,Other HVAC,Exterior Features,Public Remarks,Broker Remarks,Basement Size,Basement % Finished,Basement Finished,SqFt Basement,Basement Type,Subfloor / Foundation Type,SqFt Lower,SqFt Main,SqFt Upper,SqFt Other Finished,Other Finished Description,Style,Exterior Materials,Construction,Architecture,Roofing Material,Builder Name,Model,Year Built,End Unit,# of Stories in this Unit,Unit Floor Level,Unit Count,Style Characteristics,Elementary School,Middle School,High School,School District,School Of Choice,HOA Y/N,Multiple HOAs,Master HOA,Master HOA Fee,Master HOA Fee Quoted,Master HOA Phone #,Master HOA Website,Master HOA Type,2nd HOA,2nd HOA Fee,2nd HOA Fee Quoted,2nd HOA Phone #,2nd HOA Website,2nd HOA Type,3rd HOA,3rd HOA Fee,3rd HOA Fee Quoted,3rd HOA Phone #,3rd HOA Website,3rd HOA Type,HOA Includes,Restrictions & Covenants,Site Description,Site Type,Site Topography,Front Faces,Views,Water/Mineral Rights,Primary Access,Accessed By,Horse Property,Livestock (Other Animals Allowed),Horse Property Features,Outdoor Arena SqFt (Horse),Paddocks SqFt (Horse),Outbuildings Available,# of Additional Structures,Zoning,Lot Size Acres,Lot Size SqFt,Water Source,Well Type,Well Depth,Permitted Well Uses,Sewer,Financial Terms,Earnest Check To,Minimum Earnest Amount,Title Company,Possession,Exclusions,Submitted Prospect,Buyer Agency Compensation,Transaction Broker Compensation,Variable Commission,Limited Service,Listing Contract Type,Other Listing Contract Type,Taxes,Tax Year,Senior Tax Exemption,Directions,DOM,CDOM,List Date,Original List Price,Listing Agent Name,Listing Agent ID,Listing Agent Direct Work Phone,Listing Agent Email,Listing Office Name,Listing Office ID,Listing Office Phone,Showing Phone,Showing Email,Showing Notes,Status Contractual Search Date,Under Contract Date,Sold Date,Sold Price,Appraised Value,Concession Amount,Concessions,Sold Term,Broker Buyer Paid By,Seller Type,Selling Agent Name,Selling Agent ID,Selling Office Name,Selling Office ID,Co Selling Agent Direct Work Phone,Co Selling Agent Email,Co Selling Agent ID,Co Selling Agent Name,Co Selling Office ID,Co Selling Office Name,Co Selling Office Phone,Virtual Tour URL Unbranded,Latitude,Longitude,Walk Score,HERS Rating Year Certified,Home Energy Score,HERS Score,Energy Star Qualified Home Year Certified ,LEED Year Certified,LEED Level,NAHB/ICC-700 Year Certified,NAHB/ICC-700 Level,Solar PV Year Installed,Solar PV Kilowatts,Solar Thermal Year Installed,Solar Thermal Type,Green Other Certifications,Energy Green Features Addendum Uploaded,Distance To Bus,Distance To Light Rail,Distance To Other Transit,Public Transit Distance Type,HOA Transfer Amount,HOA Transfer Based On,Acres Crop,Acres Cultivate,Acres Irrigated,Acres Leased,Acres Pasture,Irrigation Type,Possible Use,Other Available Utilities,Fence,Survey,Features 
6950238,5/21/2016 12:55,Rental,Leased,4300,22621,,Indian Head,Road,,,Golden,CO,80403,Jefferson,199546,Coal Creek Canyon,,,3,5,1,0,2,0,3,0,2,0,2296,2296,4592,,,0.96,1.92,1.92,,2,2,0,0,0,0,,,,"Eating Space / Kitchen, Kitchen Island, Master Suite, Remodeled",,Washer/Dryer Included,"Carpet, Tile Floor, Wood Floors","Dishwasher, Disposal, Double Oven, Dryer, Microwave Oven, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven, Washer",1,,,Forced Air,,Air Conditioning-Central,,"Deck, Hot Tub/Spa","Come see this serene home in Golden! Ornate doors welcome you to the Living room with a cozy gas fireplace. Enjoy the brand new carpet, paint, travertine tile, remodeled bathrooms and newly remodeled kitchen. The kitchen features stainless steel appliances, and gorgeous granite countertops. Off of the dining room is a craft room and laundry room. Upstairs there is a master bedroom with master bath, as well as a second bedroom and guest bathroom. Downstairs there are three addiitional bedrooms, an office, a huge family room with wood burning fireplace as well as a bathroom.  The backyard has a top of the line Jennair barbecue, and an amazing pond that is fed by a waterfall . This home is surrounded by 45 acres of serene living with beautiful mountain and city views!  This neighborhood has lush meadows, springs and ponds that attract elk and deer. It is close to metro Denver for such a pristine alpine property. Quaint downtown Golden and Boulder are both a short drive away.","10-20% of Listing Broker's commission, after company split. Dependent upon Co-op Agent involvement in the process (determined by listing Broker). Please send Broker Referral Agreement prior to lease execution.",Full,,,,,,,,,,,Raised Ranch,,,,,,,1994,,,,,,West Woods,Drake,Ralston Valley,Jefferson R-1,,,,,,,,,,,,,,,,,,,,,,,Dogs OK,Adjacent to Open Space,,,,,,,,,,,,,,,,43,1899825,,,,,,,Colorado and Company,,,,"**Dogs considered with refundable pet deposit **Security deposit is equal to one month's rent **Owner pays hot tub maintenance, landscaping **Tenant pays all utilities, including gas, electric, septic, water **Application fee is $50/adult",,,10%,,,,,,,,,38,38,4/13/2016 0:00,4500,Strawberry Melissa Windholz,48682,720-557-9980,Strawberry@Coloradoandcompany.com,"Colorado and Company Real Estate, Inc",COCO1,720-255-2294,720-557-9980,strawberry@coloradoandcompany.com,Please contact listing agent to schedule a showing.,5/14/2016 0:00,,,,,0,,,,,,,,,,,,,,,,,39.845354,-105.265147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7199893,9/19/2016 14:17,Rental,Leased,4500,1430,,Lodge,Lane,,,Boulder,CO,80303,Boulder,R0108569,,,,4,5,1,0,1,2,2,0,0,3,3031,4509,4509,,,0.98,0.98,1.45,,2,2,0,0,0,0,,,,"Cable Available, Master Bath, Master Suite, Vaulted",,Washer/Dryer Included,,"Cook Top, Dishwasher, Disposal, Dryer, Microwave Oven, Refrigerator (Kitchen), Washer",,,,Forced Air,,Air Conditioning-Central,,"Fence, Front Porch, Hot Tub/Spa, Patio, Pool, Private, Professional Landscaping, Sprinkler System, Water Feature","Premier Boulder Rental Listing. This beautiful home features Colorado lifestyle at its best! Located on a 8,320 sqft  with lot West facing mountain views and  easy access to open space and trails, Hwy 36 and Hospital. This large luxury home features a Tuscan inspired backyard that is perfect for entertaining and includes a 50 ft long lap pool with cover and salt chorination system, 10 person hot tub, covered seating areas, water feature and fire pit. The outdoors space has easy access to the walk-out basement with recreation room and wet bar. The interior of the home features an updated kitchen with granite, Italian floor, spacious formal dining and living rooms and private master suite with two other guest bedrooms on the 2nd floor. It also features a mainfloor bedroom or office with access to a mainfloor full bathroom that is perfect for any guests or family that need one floor living. (NO MORE THAN TWO NON RELATED OCCUPANTS - NO 3+ ROOMMATES)","*Available with 13-30 days notice *9-21 Month Lease Term preferred *Dog conditional with Extra Deposit ($1000/pet) *Owner pays for Landscaping & Pool biweekly maintenance *NO SMOKING *Xcel w/o pool is $175/month average *Xcel w/ pool is additional $300 May-Sept *Trash & Recycle is $100 every 2 months *Security is $40-50/month if desired Coop-Broker Referral policy: Referral is 10-20% of Listing Broker's commission, after company split, dependent upon Co-op Agent involvement in the process: 10% for only referring client and/or attending showing; 20% applies for participation in all of the following: attending the showing, facilitating the application, lease negotiation, collection of monies, and attending the walkthrough). Please send Broker Referral Agreement prior to approval of application, and provide Company Policy info for payment.",Full,,TRUE,1478,Walk-Out,,,1527,1504,,,2 Story,,,,,,,1992,,,,,,Eisenhower,Manhattan,Fairview,Boulder Valley RE-2,,,,,,,,,,,,,,,,,,,,,,,Dogs OK,,,,West,,,,,,,,,,,,,,,,,,,,,Colorado & Company,,,,Staging furniture,,,20%,,,,,,,,,56,56,7/25/2016 0:00,4500,Christina Freyer Walker,6408,720-255-2294,christina@coloradoandcompany.com,"Colorado and Company Real Estate, Inc",COCO1,720-255-2294,7202447734,christina@coloradoandcompany.com,If Christina Walker is unavailable to show please contact Kim Finnigan at 720.339.8550 or kimfinnigan007@gmail.com.,9/19/2016 0:00,,,,,0,None,,Owner,,,,,,,,,,,,,,40.011385,-105.226192,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4938446,10/7/2016 14:24,Rental,Leased,3000,13635,,Mariposa,Street,,,Westminster,CO,80023,Broomfield,R8869711,,,,4,5,0,3,0,1,0,2,0,3,,,3662,,,0.83,,,,2,2,0,0,0,0,,,,,,,,,,,,Forced Air,,Air Conditioning-Central,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,Adams 12 5 Star Schl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,500 ",,,,,,,,,15,15,9/22/2016 0:00,3000,Mike Gold,19692,303-666-6500,MGOLD@REMAX.NET,RE/MAX ALLIANCE,0185B,303-666-6500,(720) 399-4770,,SCHEDULE A SHOWING ONLINE AT: showmojo.com/lh/a3f71ae03b,10/2/2016 0:00,,,,,0,,,,,,,,,,,,,,,,,39.944212,-105.003447,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7588649,5/12/2016 10:29,Rental,Leased,3000,15705,W,94th,Avenue,,,Arvada,CO,80007,Jefferson,457595,Candelas,,,3,4,0,0,1,2,0,0,0,4,2696,2696,3668,,,0.82,1.11,1.11,,3,3,0,0,0,0,,,,"Cable Available, Double Pane Windows, Eating Space / Kitchen, Five Piece Bath, Internet Access (Wired), Kitchen Island, Master Bath, Master Suite, Security System, Smoke Free, Walk-in Closets",,,"Carpet, Wood Floors",,1,,,Forced Air,"Gas, Solar",Air Conditioning-Central,Humidifier,"Covered Deck, Fence, Front Porch, Solar, Sprinkler System, Yard","Beautiful 4 bedroom home in Candelas, the kitchen is a Chef's dream, stainless appliances upgraded stove, built in wine rack, large pantry, granite countertops, beautiful wood floors throughout the first floor. Fenced yard with sprinkler system, solar system with a lifetime lease makes this home very energy efficient.  Fireplace in the Great Room.  Large Master Suite, spacious bathroom, large walk-in closet. Large unfinished basement. Construction is completed on this block, the Fitness Center and playground is directly across the street.  Save the cost of a gym membership.  Take a tour this home is hard to resist.",,Partial,,FALSE,972,Cellar,,,,,,,2 Story,,,Contemporary,,,,2015,,,,,,Meiklejohn,Wayne Carle,Ralston Valley,Jefferson R-1,,,,,,,,,,,,,,,,,,,,,,,"Cats OK, Dogs OK",,,,,,,,,,,,,,,,,,,Public,,,,Public,,Higher Ground Homes,,,,,,,$200.00 ,,,,,,,,"PLEASE NOTE GOOGLE MAPS WILL LEAD TO WRONG LOCATION.  THEY HAVE NOT UPDATED FOR ALL OF CANDELAS YET. FROM INDIANA AVE TURN INTO THE CANDELAS SUBDIVISION.  TURN RIGHT ONTO MCINTYRE, THEN THE FIRST LEFT ONTO 94TH AVE.  THE HOUSE IS THE 3RD HOUSE ON THE RIGHT. Please give one hour notice for all showings.  If muddy leave shoes at front door, booties are provided.",35,35,4/7/2016 0:00,3000,Dolores St. Denis,36656N,303-956-2662,dolores@highergroundhomes.com,Higher Ground Homes,M2701,303-956-2662,303-956-2662,dolores@highergroundhomes.com,One hour notice required.,5/11/2016 0:00,,,,,0,,,,,,,,,,,,,,,,,39.867946,-105.174961,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658749,4/30/2016 11:31,Rental,Leased,2950,4080,,Crystal,Court,,,Boulder,CO,80304,Boulder,R0104053,Boulder,Sundance,,3,2,0,0,1,2,0,0,0,2,1298,1298,1298,,,2.27,2.27,2.27,,2,2,0,0,0,0,,,,"Eating Space / Kitchen, Fully Furnished, Open Floor Plan, Pet Free, Remodeled, Skylights, Smoke Free, Vaulted, Walk-in Closets",,Washer/Dryer Included,"Carpet, Wood Floors","Dishwasher, Dryer, Freezer, Microwave Oven, Refrigerator (Kitchen), Stove/Range/Oven, Washer",,,,Forced Air,"Electric, Gas",Ceiling Fan,,"Deck, Fence, Professional Landscaping, Sprinkler System","Step inside this totally renovated 2-story,and you are greeted by expansive and bright living spaces. 2 bedrooms with 2 full bathrooms and a half bath on the main level, loft space for an office/den.Gorgeous state-of-the-art kitchen with granite counters, stainless appliances, and a separate dining room. The high-end finishes are everywhere in this home: red oak hardwood floors on the main level, plush carpeting upstairs, designer interior/exterior paint, two new Ultra HD-Smart TVs, DVD player and stereo in large entertainment center. . .you'll appreciate the extensive use of the finest materials. 2 car garage plus extra guest parking available. Nestled on a quiet cul-de-sac adjacent to two beautiful parks, yet just a stone's throw from all the amenities and luxuries of Boulder living. Walking and biking trails galore, close to public transit, just 5 minutes to Pearl Street Mall, 10 minutes to 29th Street Mall. Truly a GEM!",,None,,,,,,,610,688,,,2 Story,,,,,,,1987,,,,,,Crest View,Centennial,Boulder,Boulder Valley RE-2,,,,,,,,,,,,,,,,,,,,,,,,"Adjacent to Park, Cul-de-Sac, Near Public Transit",,,,,,,,,,,,,,,,,,,,,,,,Professional Realty Operations,,,,,,,$1.00 ,,,,,,,,"From US-36 and Jay Road, head west on Jay Road and turn left onto Amber Street. Turn right onto 1st street: Crystal Court. Beautiful 2-story home on your left.",111,111,1/10/2016 0:00,2950,COLLEEN VANDENDRIESSCHE,227231,303-449-3444,colleen@relopros.com,PRO PROF REALTY OPERATIONS,9476,303-449-3444,303-449-3444,info@relopros.com,24 hours advance notice preferred for your showing delight.,4/30/2016 0:00,,,,,0,,,,,,,,,,,,,,,,,40.048883,-105.260922,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3776877,9/15/2016 22:26,Rental,Leased,2795,1380,,Reliance,Place,,,Erie,CO,80516,Weld,R1482002,,,,5,4,0,0,2,3,0,0,0,4,3779,3779,5751,,,0.49,0.74,0.74,,4,4,0,0,0,0,,,,"Cable Available, Five Piece Bath, Jack & Jill Bath, Kitchen Island, Master Bath, Master Suite, Open Floor Plan, Walk-in Closets, Window Coverings",,W/D Hookups in Unit,"Carpet, Tile Floor, Vinyl/Linoleum, Wood Floors","Cook Top, Dishwasher, Disposal, Double Oven, Freezer, Microwave Oven, Refrigerator (Kitchen), Self-Cleaning Oven",1,,,Forced Air,Gas,Air Conditioning-Central,,"Balcony, Deck, Fence, Patio, Sprinkler System, Yard","Stunning 4 bedroom 4.5 bath home in Vista Pointe neighborhood. Main floor features a study/office with its own private bath and formal living and dining rooms. Spacious kitchen with large granite island work center and large pantry. Just off the kitchen youâ€™ll find a second private stairway that leads directly to the master suite. The master bedroom features a 5 piece bath, huge walk-in closet and a wet bar and a private balcony off the Master Suite. The upper level also touts a large loft, a full bath and three generously sized secondary bedrooms two of which share a Jack and Jill bath. This home also features a large 4 car garage. Backyard is perfect for entertaining with spectacular mountain views from the deck. Washer and Dryer hookups on main level.",,Full,,FALSE,1972,,,,,,,,2 Story,,,,,,,2005,,,,,,Black Rock,Erie,Erie,St. Vrain Valley RE-1J,,,,,,,,,,,,,,,,,,,,,,,,Cul-de-Sac,,,East,Mountain View,,,,,,,,,,,,,,,,,,,,2900/2900,,,,,,,$250.00 ,,,,,,,,,23,23,8/23/2016 0:00,2900,Nicholas Conley,04787N,303-466-6340,nick@highlandrealty.com,HIGHLAND REALTY & MANAG INC,0034B,303-466-6340,303-466-6340,info@highlandrealty.com,,9/11/2016 0:00,,,,,0,,,,,,,,,,,,,,,,,40.023882,-105.041927,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3779016,8/17/2016 11:44,Rental,Leased,2700,1996,W,66th,Avenue,,,Denver,CO,80221,Adams,R0185719,,,,4,4,1,0,1,2,1,0,0,3,1452,1949,1949,,,1.39,1.39,1.86,,2,2,0,0,0,0,,,,"Cable Available, Internet Access (Wired), Kitchen Island, Master Bath, Master Suite, Open Floor Plan, Pet Free, Remodeled, Security Entrance, Security System, Skylights, Updated, Vaulted, Walk-in Closets",,W/D Hookups in Unit,"Carpet, Tile Floor, Wood Floors","Dishwasher, Microwave Oven, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven",,,,"Forced Air, Solar Active","Gas, Solar","Air Conditioning-Central, Air Conditioning-Individual, Air Conditioning-Room",,"Covered Deck, Deck, Fence, Garden Area, Maintenance Free Exterior, Patio, Playground Area, Solar, Sprinkler System","A boutique new home neighborhood 4 miles from downtown Denver. With all the benefits of the city â€“ art, entertainment, restaurants, nightlife â€“ and all the advantages of a new home. New development 5 minutes to Highlands, 10 minutes to downtown, 3 minutes to highways. City and mountain views. Energy efficient construction with solar panels, open floor plan, hardwood floors, gourmet kitchen full of light and functional space. Neighborhood features park area, brewery, cafes and coffee shops. You will not be disappointed.",Call broker to arrange the showing,Full,100,TRUE,497,Cellar,,,,1452,,,2 Story,,,Contemporary,,,,2016,TRUE,2,,,,Clayton K-8,Valley View K-8,York Int'l K-12,Mapleton R-1,,,,,,,,,,,,,,,,,,,,,,,"Cats OK, Dogs OK","Adjacent to Open Space, Corner Lot, Near Public Transit",,,East,"City View, Mountain View",,,,,,,,,,,,,,,,,,,,owner,,,,,,,$300 ,,,,,,,,,29,29,7/19/2016 0:00,3500,Natalia Kanonerova,35807N,303-359-5110,nataliakanon@gmail.com,Kanonerova Realty,SELUS,303-359-5110,303-359-5110,nataliakanon@gmail.com,text to arrange showing,8/16/2016 0:00,,,,,300,Other,,,,,,,,,,,,,,,,39.816281,-105.029727,38,,,,,,,,,,,,,,,,,,Blocks,,,,,,,,,,,,,
4341634,2/17/2016 10:44,Rental,Leased,2695,6559,,Poppy,Street,,,Arvada,CO,80007,Jefferson,,Meadows At Westwoods Ranch,,,3,4,0,0,1,2,0,0,0,4,2507,3350,3732,,,,,,,2,2,0,0,0,0,,,,Cable Available,,,,,1,,,Forced Air,Gas,Air Conditioning-Central,,,"Elegant home with Bamboo Floors on Entire Main Level. Cul-De-Sac Location with Mountain Views from Upper Level. Kitchen finishes include Granite Counter Tops, Butcher Block Island, Eat-In Space & Breakfast Bar Open to The Family Room with Fireplace and Vaulted Ceilings With Formal Living, Dining room and Office. Master Suite Offers Large Walk-In Closet, and 5-Piece Tiled Bath. Two of The Three Upper Level Guest Bedrooms Have Walk-In Closets. Basement Perfect for an Exercise Room or Additional Great Room. Awesome Outdoor Space with Full Patio. Pets on a case by case basis.",Please contact Chris Edmondson for all showings.  Application fee is $45 per person 18 or older to reside in the property.,Full,90,TRUE,1225,Cellar,,,,,,,,,,,,,,1998,,2,,,,West Woods,Drake,Ralston Valley,Jefferson R-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathlight Property Management,,,,,,,50%,,,,,,,,,34,34,1/14/2016 0:00,2695,Christopher Edmondson,49135,303-324-0119,cedmondson@pathlightmgt.com,Pathlight Property Management,M2653,720-288-0169,303-324-0119,cedmondson@pathlightmgt.com,Please contact Chris Edmondson for all showings.,2/1/2016 0:00,,,,,0,,,,,,,,,,,,,,,,,39.81572,-105.183373,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8140317,6/27/2016 9:07,Rental,Leased,2600,11265,,Quivas,Loop,,,Westminster,CO,80234,Adams,R0031669,,,,4,5,1,0,2,1,2,0,0,3,,3453,3453,,,0.75,0.75,,,4,2,0,2,0,0,,,,"Five Piece Bath, Jet Action Tub, Master Suite, Remodeled, Speakers, Built-in, Updated, Vaulted, Walk-in Closets, Window Coverings",,W/D Hookups in Unit,"Tile Floor, Wood Floors","Compactor, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven",,,,Forced Air,Gas,,,"Deck, Fence, Front Porch, Patio, Professional Landscaping","Fabulous wood floors and hard tile throughout this luxury home. Five bedrooms, with a separate office/study off family room.",,Full,100,TRUE,,,,,,,,,,,,,,,,1981,,,,,,Cotton Creek,Silver Hills,Mountain Range,Adams 12 5 Star Schl,,,,,,,,,,,,,,,,,,,,,,,Dogs OK,"Golf Community, Near Public Transit",,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,37,37,5/21/2016 0:00,2900,Jason Pavlovic,320239,303-667-1622,JASON@SURETYREALTY.COM,SURETY REALTY INC,SURE1,303-667-1622,3036671622,jason@suretyrealty.com,,6/27/2016 0:00,,,,,0,,,Owner,,Jason Pavlovic,320239,SURETY REALTY INC,SURE1,,,,,,,,,39.901682,-105.010047,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8021685,2/1/2017 23:42,Rental,Leased,2600,4395,W,117th,Court,,,Westminster,CO,80031,Adams,,,,,3,3,0,0,1,2,0,0,0,3,1901,1901,2951,,,0.86,1.34,1.34,,2,2,0,0,0,0,,Agent Owner,,"Cable Available, Double Pane Windows, Eating Space / Kitchen, Five Piece Bath, Internet Access (Wired), Jack & Jill Bath, Jet Action Tub, Kitchen Island, Master Suite, Open Floor Plan, Pet Free, Smoke Free, Walk-in Closets, Window Coverings",,Washer/Dryer Included,"Carpet, Tile Floor, Wood Floors","Convection Oven, Cook Top, Dishwasher, Disposal, Double Oven, Dryer, Microwave Oven, Refrigerator (Kitchen), Self-Cleaning Oven, Washer",1,,,Forced Air,Gas,"Air Conditioning-Central, Attic Fan, Ceiling Fan",,"Covered Deck, Covered Patio, Deck, Fence, Front Porch, Sprinkler System, Wraparound Porch, Yard","Half price January! (if 1 year lease or longer).  Beautiful Craftsman style 2-story single family home in highly sought after Bradburn Village in north Westminster.  Landlord (Broker) just purchased this house and has deep cleaned this house and it is now available for move in.  Wrap-around porch with 2nd entrance to 1st floor office.  Small yard and back deck.  Just blocks to Bradburn village restaurants and shops, bus stops, open space, community pool and Whole Foods, and pocket parks.  $2600 rent for 1 year lease.  Longer lease may be considered.  Shorter term lease for a premium on a case-by-case basis.  Washer dryer included.  Wood floors throughout 1st floor.  Kitchen has island, granite, maple cabs, double convection oven, gas cooktop, pantry.  Professional cleaning just completed of windows, blinds, carpet and ducts.  Close to Broomfield with easy access to Interlochen Business Park, Boulder and Denver.",Lease commission of $600 for 1 year lease or longer.  Shorter lease = reduced commission.,Full,0,FALSE,1050,Standard,,,1050,851,,,2 Story,,,Traditional,,,,2004,TRUE,2,,,Low Rise (1-3),Cotton Creek,Westlake,Legacy,Adams 12 5 Star Schl,,,,,,,,,,,,,,,,,,,,,,,No Animals,Corner Lot,,,South,,,,,,,,,,,,,,,,,,,,,Andrea Sortwell,,,,Detached carriage house over the garage is a separate corporate furnished rental and is not included in the rent.,,,$600 ,,,,,,,,Take Bradburn Blvd south from 120th to 118th.  West on 118th 2 blocks to Tennyson.  South on Tennyson 2 blocks.  House is on the NEC of Tennyson and 117th Ct.,44,44,12/19/2016 0:00,2950,Andrea Sortwell,314114,303-425-7075,asortwell@comcast.net,ANDREA L SORTWELL BROKER,10829,303-425-7075,303-425-7075,asortwell@comcast.net,Please contact owner agent to arrange showing.  Lease commission based on 12 month or longer lease.  Lease commission to be adjusted if shorter lease.,2/1/2017 0:00,,,,,0,,,,,,,,,,,,,,,,,39.910488,-105.043523,72,,,,,,,,,,,,,,,4,,,Blocks,,,,,,,,,,,,,
