MLS Number,Last Change Timestamp,Type,Status,List Price,Street #,Street Dir,Street Name,Street Type,Unit #,Building #,City,State,Zip Code,County,Parcel Number,Locale,Complex Name,Incorporated,Total Baths,Total Bedrooms,Bathrooms Total Basement,Bathrooms Total Lower,Bathrooms Total Main,Bathrooms Total Upper,Bedrooms Total Basement,Bedrooms Total Lower,Bedrooms Total Main,Bedrooms Total Upper,SqFt Above,SqFt Finished,SqFt Total,Date Measured,Measurement Source,PSF Total,PSF Finished,PSF Above Grade,Garage Spaces Count,Total Parking Spaces,Total Garage Spaces,Total Carport Spaces,Total Offstreet Spaces,Total Reserved Spaces,Total RV Spaces,Parking Features,Property Information,Construction Details,Interior Features,Smart Home Features,Laundry,Flooring,Appliances,# Fireplaces,Fireplace Types,Fireplace Locations,Heating Type,Fuel Type,Cooling,Other HVAC,Exterior Features,Public Remarks,Broker Remarks,Basement Size,Basement % Finished,Basement Finished,SqFt Basement,Basement Type,Subfloor / Foundation Type,SqFt Lower,SqFt Main,SqFt Upper,SqFt Other Finished,Other Finished Description,Style,Exterior Materials,Construction,Architecture,Roofing Material,Builder Name,Model,Year Built,End Unit,# of Stories in this Unit,Unit Floor Level,Unit Count,Style Characteristics,Elementary School,Middle School,High School,School District,School Of Choice,HOA Y/N,Multiple HOAs,Master HOA,Master HOA Fee,Master HOA Fee Quoted,Master HOA Phone #,Master HOA Website,Master HOA Type,2nd HOA,2nd HOA Fee,2nd HOA Fee Quoted,2nd HOA Phone #,2nd HOA Website,2nd HOA Type,3rd HOA,3rd HOA Fee,3rd HOA Fee Quoted,3rd HOA Phone #,3rd HOA Website,3rd HOA Type,HOA Includes,Restrictions & Covenants,Site Description,Site Type,Site Topography,Front Faces,Views,Water/Mineral Rights,Primary Access,Accessed By,Horse Property,Livestock (Other Animals Allowed),Horse Property Features,Outdoor Arena SqFt (Horse),Paddocks SqFt (Horse),Outbuildings Available,# of Additional Structures,Zoning,Lot Size Acres,Lot Size SqFt,Water Source,Well Type,Well Depth,Permitted Well Uses,Sewer,Financial Terms,Earnest Check To,Minimum Earnest Amount,Title Company,Possession,Exclusions,Submitted Prospect,Buyer Agency Compensation,Transaction Broker Compensation,Variable Commission,Limited Service,Listing Contract Type,Other Listing Contract Type,Taxes,Tax Year,Senior Tax Exemption,Directions,DOM,CDOM,List Date,Original List Price,Listing Agent Name,Listing Agent ID,Listing Agent Direct Work Phone,Listing Agent Email,Listing Office Name,Listing Office ID,Listing Office Phone,Showing Phone,Showing Email,Showing Notes,Status Contractual Search Date,Under Contract Date,Sold Date,Sold Price,Appraised Value,Concession Amount,Concessions,Sold Term,Broker Buyer Paid By,Seller Type,Selling Agent Name,Selling Agent ID,Selling Office Name,Selling Office ID,Co Selling Agent Direct Work Phone,Co Selling Agent Email,Co Selling Agent ID,Co Selling Agent Name,Co Selling Office ID,Co Selling Office Name,Co Selling Office Phone,Virtual Tour URL Unbranded,Latitude,Longitude,Walk Score,HERS Rating Year Certified,Home Energy Score,HERS Score,Energy Star Qualified Home Year Certified ,LEED Year Certified,LEED Level,NAHB/ICC-700 Year Certified,NAHB/ICC-700 Level,Solar PV Year Installed,Solar PV Kilowatts,Solar Thermal Year Installed,Solar Thermal Type,Green Other Certifications,Energy Green Features Addendum Uploaded,Distance To Bus,Distance To Light Rail,Distance To Other Transit,Public Transit Distance Type,HOA Transfer Amount,HOA Transfer Based On,Acres Crop,Acres Cultivate,Acres Irrigated,Acres Leased,Acres Pasture,Irrigation Type,Possible Use,Other Available Utilities,Fence,Survey,Features 
4930860,11/24/2016 12:56,Detached Single Family,Active,350000,446,,Starlight,Road,,,Thornton,CO,80260,Adams,R0058259,North Star Hills,,TRUE,2,3,1,0,1,0,0,0,3,0,1520,1700,2744,,County Records,127.55,205.88,230.26,,2,1,0,0,0,1,,,,"Eating Space / Kitchen, Handicap Accessible, Vaulted, Window Coverings",,,"Carpet, Vinyl/Linoleum, Wood Floors","Cook Top, Dishwasher, Refrigerator (Kitchen), Stove/Range/Oven",,Wood,Rec/Bonus Room,Forced Air,Gas,Evaporative Cooler (Swamp),,"Fence, Garden Area, Patio, Utility Shed, Yard","Location, Location, Location! Welcome Home to this large ranch style home,3 bedrooms, 2 bathrooms, Family Room with vaulted ceiling and fireplace. New Roof with warranty, New Furnace, New Hot Water Heater, New Swamp Cooler, Updated Electrical, Newer Windows. Buyer to verify square footage.Taxes based on Senior Tax rate. The home is in great condition and all the big ticket items are taken care of just add your finishing touch!","Motivated Seller, this is an Estate. Buyer must verify square footage.",Full,,,1144,Cellar,,,1550,,,,Ranch/1 Story,Brick,"Brick, Frame",Traditional,Composition Shingles,,,1967,,,,,,North Star,Thornton,Northglenn,Adams 12 5 Star Schl,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"City View, Mountain View",,,,,,,,,TRUE,,RESIDENTIAL,0.24,10660,Public,,,,,"Cash, Conventional, FHA, VA",First American Title Company,3500,First American Title Company,DOD,Washer and Dryer,TRUE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,959,2015,TRUE,,91,91,11/24/2016 0:00,350000,Julie Leins,04842N,720-474-0928,julieleins@kw.com,Keller Williams Advantage Realty LLC,KWR11,303-986-4300,3035737469,julieleins@kw.com,Appointment required,11/24/2016 0:00,,,,,,,,,Estate,,,,,,,,,,,,http://www.circlepix.com/home2/DYPSX6,39.854137,-104.992749,44,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
1509471,2/22/2017 13:48,Attached Single Family,Active,350000,2800,,Kalmia,Avenue,313,C,Boulder,CO,80301,Boulder,R0100248,Aspen Grove,Aspen Grove,,2,2,0,0,2,0,0,0,2,0,888,888,888,,,394.14,394.14,394.14,,1,0,0,0,1,0,,,,"Cable Available, Eating Space / Kitchen, Master Bath, Pantry, Remodeled, Skylights, Updated, Vaulted, Walk-in Closets",,Washer/Dryer Included,"Carpet, Laminate","Convection Oven, Dishwasher, Disposal, Dryer, Microwave Oven, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven, Washer",1,Wood,Living Room,Baseboard,"Electric, Hot Water","Air Conditioning-Room, Ceiling Fan",,Balcony,"Gorgeous renovated corner unit overlooks interior of complex.  Place is light and bright with vaulted ceilings and skylight!  All new flooring and paint!  Kitchen and bathrooms are updated with granite.  New full sized laundry in unit.  Never worry about replacing a water heater or furnace-HOA covers everything except electric and cable/internet.  1 parking space and onsite private storage locker included.  Wood burning fireplace with travertine hearth.  Great onsite dog park, poool and hot tub.  Open House this Saturday from 11-1.","Open House Saturday 11-1.  Storage locker instructions are on counter and keys are in lockbox.  Parking spot is #720.  There is a lot of visitor parking on sides or carport.  Aspen Grove has a priviate dog park, and clubhouse with Boulder County's largest pool and hot tub.  Close to Wonderland trial, NOBO trail, shopping  and public transit close by.  Seller plans to review offers Monday evening (2/28) but reserves the right to accept an offer prior to Monday if they decide to.  No escalation clauses please.",None,,,,,,,888,,,,Condominium,"Cedar Siding, Wood Siding",Frame,,Composition Shingles,,,1984,,1,3,,,Columbine,Centennial,Boulder,Boulder Valley RE-2,,TRUE,FALSE,Haven,400,Monthly,303-530-0700,,Professionally Managed,,,,,,,,,,,,,"Clubhouse, Community Pool, Exterior Maintenance w/ Roof, Grounds Maintenance, Heat, Sewer, Snow Removal, Trash Removal, Water",,,,,,,,,,,,,,,,,,,,Public,,,,,"Cash, Conventional, VA",RE/MAX Alliance,3500,Land Title,Delivery of deed,staging items,FALSE,2.80%,2.80%,TRUE,FALSE,Exclusive Agency,,1203,2015,FALSE,,1,1,2/22/2017 0:00,350000,Kit Magley,55041071,303-775-5177,kitmagley@remax.net,RE/MAX ALLIANCE,REM23,303-651-3939,,,,2/22/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,,40.038119,-105.257264,61,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
I811928,,Attached Single Family,Active,350000,2800,,Kalmia,Avenue,C313,,Boulder,CO,80301,Boulder,,,,,2,2,,,,,,,,,888,888,888,,County Records,,,,,1,,,,1,,,,,"Cable Available, Eating Space / Kitchen, Open Floor Plan, Vaulted, Walk-in Closets, Window Coverings",,W/D Hookups in Unit,,"Dishwasher, Disposal, Dryer, Microwave Oven, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven, Washer",,,Living Room,Baseboard,,"Air Conditioning-Room, Ceiling Fan",,"Balcony, Hot Tub/Spa","Gorgeous renovated corner unit overlooks interior of complex. Place is light & bright with vaulted ceilings and skylight! All new flooring & paint! Kitchen & bathrooms are updated with granite. New full sized laundry in unit. Never worry about replacing a water heater or furnace-HOA covers everything except electric and cable/internet. 1 parking space & onsite private storage locker included. Wood burning fireplace with travertine hearth. Great onsite dog park, pool & hot tub.Open house Sat11-1.","Open house Sat. 11-1. Storage locker instructions are on counter and keys are in lockbox. Parking sport is #720.  There is lots of visitor parking on sides of carport. Aspen Grove has a private dog park, and clubhouse with Boulder County's largest pool and hot tub. Close to Wonderland trail, NOBO trail and shopping and public transit close by.  Seller will review all offers Monday evening (2/28)but does reserve the right to accept an offer earlier. Seller asks for no escalation clauses.Thank you",None,,,0,,,,888,0,,,Condominium,,Frame,,Composition Shingles,,,1984,FALSE,,3,,,Columbine,Centennial,Boulder,,,TRUE,FALSE,Haven,400,Monthly,303-530-0700,,Professionally Managed,,,,,,,,,,,,,"Clubhouse, Community Pool, Grounds Maintenance, Heat, Insurance, Sewer, Snow Removal, Trash Removal, Water","Cats OK, Dogs OK",,,,,,,,,FALSE,,,,,,,PUD,,,Public,,,,,"Cash, Conventional, VA",RE/MAX Alliance,3500,,Delivery of Deed,Staging items.,,2.8,2.8,,,Exclusive Agency,,,2015,,,2,,2/22/2017 0:00,,Kit Magley,922289,(303) 775-5177,kitmagley@remax.net,RE/MAX Alliance-Longmont,LRMA,(303) 651-3939,,,CSS: (303)573-7469,2/22/2017 0:00,,,,,0,,,,Individual,,,,,,,,,,,,http://www.listingsmagic.com/143366,40.03943,-105.25793,66,0,,,0,0,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
I811435,,Attached Single Family,Active,349980,6108,,Kochia,Court,108,,Frederick,CO,80504,Weld,,,,,3,3,,,,,,,,,1313,1313,1873,,Builder,,,,,2,2,,,,,,1031 Exchange,,"Open Floor Plan, Walk-in Closets",,,Wood Floors,"Dishwasher, Disposal, Microwave Oven, Self-Cleaning Oven, Smoke Alarm, Stove/Range/Oven",,,,Forced Air,,Air Conditioning-Central,,Patio,"Glasco Park is a luxury town house development in prestigious Wyndham Hill Convenient to Boulder Denver FTCO and DIA Designed for the savvy buyer who appreciates low maintenance living Premiere location Outdoor lifestyle and premium amenities Over $15,000 in upgrades already included. Granite stainless appliances tile/wood floors 2 car garage full basement and much more. Presale pricing now available and still time to pick your colors and finishes Enjoy a Boulder lifestyle w/o the Boulder price.",We have 3 plexes and 4 plexes and 4 different floor plans available with a very private feel. . Plans are in extra docs. Phase I is available for presales with presales pricing. Framing to start end of Feb Builder contract required Buyer and buyers agent to verify all information. Taxes are estimated at $2800 and hoa fees are estimates. Commission paid on base price,Full,,,560,,,,560,753,,,Townhouse,Rock,Frame,,Composition Shingles,,,2017,TRUE,,,,,Legacy,Erie,Erie,,,TRUE,TRUE,Glasco Park at Wyndham Hill,75,Monthly,,,,Wyndham Hill Hoa,54,,720-974-4245,,,,,,,,,"Clubhouse, Community Pool, Grounds Maintenance, Snow Removal",,,,,,Mountain View,,,,FALSE,,,,,,,RES,0.04,1937,Public,,,,Community,"Cash, Conventional, FHA, VA",Fidelity National Title,9000,,Delivery of Deed,,,3,3,,,Exclusive Agency,,,2016,,Hwy 52 to County Road 7 north to Billings west. Glasco Park is on the north side.,11,,2/13/2017 0:00,,Chris Fuchs,Z62728,(303) 995-3910,cfuchs@residentrealty.com,Resident Realty,0RERE,(970) 282-8585,,,CSS: (303)573-7469,2/13/2017 0:00,,,,,0,,,,Builder,,,,,,,,,,,,,40.089955,-104.999957,1,0,,,0,0,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
I811481,,Attached Single Family,Active,349980,6108,,Kochia,Court,102,,Frederick,CO,80504,Weld,,,,,3,3,,,,,,,,,1313,1313,1873,,Builder,,,,,2,2,,,,,,1031 Exchange,,"Open Floor Plan, Walk-in Closets",,,Wood Floors,"Dishwasher, Disposal, Microwave Oven, Self-Cleaning Oven, Smoke Alarm, Stove/Range/Oven",,,,Forced Air,,Air Conditioning-Central,,Patio,"Glasco Park is a luxury town house development in prestigious Wyndham Hill Convenient to Boulder Denver FTCO and DIA Designed for the savvy buyer who appreciates low maintenance living Premiere location Outdoor lifestyle and premium amenities Over $15,000 in upgrades already included. Granite stainless appliances tile/wood floors 2 car garage full basement and much more. Presale pricing now available and still time to pick your colors and finishes Enjoy a Boulder lifestyle w/o the Boulder price.",We have 3 plexes and 4 plexes and 4 different floor plans available with a very private feel. Plans are in extra docs. Phase I is available for presales with presales pricing. Framing to start end of Feb Builder contract required Buyer and buyers agent to verify all information.  Commission paid on base price,Full,,,560,,,,560,753,,,Townhouse,Rock,Frame,,Composition Shingles,,,2017,FALSE,,,,,Legacy,Erie,Erie,,,TRUE,TRUE,Glasco Park at Wyndham Hill,75,Monthly,,,Professionally Managed,Wyndham Hill Hoa,54,,,,,,,,,,,"Clubhouse, Community Pool, Grounds Maintenance, Snow Removal",,,,,,,,,,FALSE,,,,,,,RES,0.04,1935,Public,,,,Community,"Cash, Conventional, FHA, VA",Fidelity National Title,9000,,Delivery of Deed,,,3,3,,,Exclusive Agency,,,2015,,Hwy 52 to County Road 7 north to Billings west. Glasco Park is on the north side.,9,,2/15/2017 0:00,,Chris Fuchs,Z62728,(303) 995-3910,cfuchs@residentrealty.com,Resident Realty,0RERE,(970) 282-8585,,,CSS: (303)573-7469,2/15/2017 0:00,,,,,0,,,,Builder,,,,,,,,,,,,,40.089893,-104.99941,1,0,,,0,0,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
5234817,2/21/2017 11:08,Detached Single Family,Active,345000,10750,,Routt,Way,,,Westminster,CO,80021,Jefferson,74248,Walnut Grove,,FALSE,2,3,0,0,2,0,0,0,3,0,1040,1040,2048,1/31/2017 0:00,County Records,168.46,331.73,331.73,,2,2,0,0,0,0,Driveway-Asphalt,,,,,,,,,,,Forced Air,Gas,Air Conditioning-Central,,,"Impeccable, charming and inviting! This home has been beautifully remodeled with wainscoting, crown molding, beautiful trim and gleaming solid hickory wood floors throughout. The living room has great light, a fireplace accented with a gorgeous mantle and lots of room for relaxing or entertaining. The kitchen has an eat-in area and included stainless steel appliances, hand hammered copper under-mount sink with oil rubbed bronze faucet, granite counters with glass tile back splash, and soft close cabinetry-very elegant. The master suite is spacious and well-lit and the master Â¾ bath is newly tiled w/ a rain shower style fixture-enjoy! Your basement is unfinished-youâ€™ll be impressed with the space.  The garage is over sized and includes cabinetry and shelving for extra storage. Easy commute to Inverness as well as Boulder and Denver.  Stanley Lake is minutes away with trails and water sports like water skiing, paddle boarding, fishing and more.  This is your lucky day-don't miss out!","Beautiful home and lots of great changes coming to Westminster so don't wait.  Quick close available.  Offers must be presented no later than Friday, February 24th at 5pm and will be responded to by Saturday, February 25th.",Partial,,FALSE,1008,Standard,Concrete Wall,,1040,,,,Ranch/1 Story,Brick,Frame,Contemporary,Composition Shingles,,,1978,,,,,,Lukas,Wayne Carle,Standley Lake,Jefferson R-1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,West,Mountain View,,,Public Road,,,,,,,,RES,0.17,7375,Public,,,,Public,"Cash, Conventional, FHA, VA",Stewart Title,5000,Stewart Title,Upon Transfer of Deed,staging items,TRUE,2.80%,2.80%,FALSE,FALSE,Exclusive Right,,1334,2015,FALSE,,5,5,2/7/2017 0:00,345000,Keely Hawk,23908,303-522-0918,KEELY.HAWK@COLORADOHOMES.COM,COLDWELL BANKER RESIDENTIAL 18,CBR18,303-320-5733,3035737469,,"Vacant, please remove shoes in inclement weather.  Be sure to lock all doors.  Please provide feedback",2/7/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,,39.891697,-105.127429,11,,,,,,,,,,,,,,FALSE,5,10,,Minutes,,,,,,,,,,,,,
6190256,2/10/2017 18:28,Detached Single Family,Active,339900,2300,W,82nd,Place,,,Denver,CO,80221,Adams,R0059738,Sherrelwood Estates,,,2,4,1,0,1,0,2,0,2,0,1000,2000,2000,,County Records,169.95,169.95,339.9,,2,2,0,0,0,0,"Heated, Insulated",,,"Eating Space / Kitchen, Security System",,,"Carpet, Wood Floors","Dishwasher, Dryer, Microwave Oven, Refrigerator (Kitchen), Stove/Range/Oven, Washer",1,Wood,Family Room,Forced Air,Gas,"Air Conditioning-Central, Ceiling Fan",,"Deck, Fence, Sprinkler System, Yard","Great location of this Sherrelwood Estates ranch home with finished basement! 3 bedrooms plus 1 non-conforming bedroom in the basement*Large, open kitchen with eat-in area, stainless steel gas range and skylight*Updated main level bathroom and second bath in basement*Hardwood floors throughout home*Beautiful stone surrounding wood burning stove in den*Big lot on end of cul-de-sac with ample parking in addition to the large, heated and insulated 2 car garage and long driveway*New six foot privacy fence*Newer roof and seamless gutters*Well maintained and a must see!",There is an additional 560 sq ft on main level that is not accounted for in county records. Buyer to verify square footage. Submit all offers to contracts@theadvocateteam.com. Call Co-Agent Sherri Heim at 720-316-8414 with any questions.,Full,,TRUE,1000,,,,,,,,Ranch/1 Story,Brick,Frame,,Composition Shingles,,,1962,,,,,,Metz,Ranum,Westminster,Westminster Public Schools,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Corner Lot, Cul-de-Sac",,,,,,,,,,,,,,,R-1-C,0.23,10058,Public,,,,,"Cash, Conventional, FHA, VA",Chicago Title,3000,Chicago Title,Delivery of Deed,Light fixture in living room but will be replaced*Antique vanity in main level bath also to be replaced,TRUE,2.50%,2.50%,FALSE,FALSE,Exclusive Right,,1666,2015,FALSE,,13,13,2/10/2017 0:00,339900,Craig O'Rourke,28940N,303-223-3831,craig@theadvocateteam.com,Keller Williams Action Realty LLC,KWR20,303-688-8300,303-573-7469,,CSS only*2 hour notice,2/10/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,,39.846063,-105.01445,45,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
7359250,2/17/2017 14:18,Detached Single Family,Active,335000,10155,,Wyandott,Circle,,,Thornton,CO,80260,Adams,R0107138,Hunters Chase,,,3,3,0,0,1,2,0,0,0,3,1466,1818,1818,,,184.27,184.27,228.51,,2,2,0,0,0,0,Driveway-Concrete,,,,,,,"Dishwasher, Disposal, Dryer, Microwave Oven, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven, Washer",,,Family Room,Forced Air,Electric,Air Conditioning-Central,,,AMAZING 2 STORY HOME IN HUNTERS CHASE w/Price Reduction. This House is very welcoming and located in the heart of the cul-de-sac. The roof is one year old. The interior is well maintained with a laundry room conveniently located on the upper floor and a beautiful 5 piece master bathroom. The basement is partially finished with a living room and a 4th bedroom that is non conforming.,"The Seller was in the process of upgrading the carpets but is moving out of state so will give 2,000 in concessions for new carpet installation. There is a working washer and dryer in the garage the sellers will leave but the one in the laundry room is excluded (Front Loading washer/dry Excluded).  Please write all earnest money checks to Keller Williams Preferred Realty LLC.",Partial,,,352,,,,,,,,2 Story,Vinyl Siding,"Brick, Other",,Unknown,,,1999,,,,,,Hillcrest,Silver Hills,Northglenn,Adams 12 5 Star Schl,,TRUE,,High Ridge Court,82,Monthly,303-420-4433,Http://hrc.msihoa.com,Professionally Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential,0.06,2750,,,,,,"Cash, Conventional, FHA, VA",Keller Williams Preferred Realty LLC,3300,Canyon Title,DOD,Washer and Dryer in laundry room,FALSE,2.50%,2.50%,FALSE,FALSE,Exclusive Right,,1851,2015,FALSE,,25,25,1/29/2017 0:00,345000,Nicole Chavez,51896,303-452-3300,nicolechavez@kw.com,Keller Williams Preferred Realty,KWR80,303-452-3300,303-573-7469,,,1/29/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,,39.881449,-105.014107,29,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
7125327,1/30/2017 19:28,Detached Single Family,Active,335000,3205,,Columbine,Court,,,Broomfield,CO,80020,Broomfield,R0023851,Columbine meadows,,,3,4,1,0,1,1,1,0,0,3,1244,1470,1796,1/28/2017 0:00,County Records,186.53,227.89,269.29,,2,2,0,0,0,0,,,,,,,,,,,,Forced Air,Gas,Evaporative Cooler (Swamp),,,"Location! wonderful 2 story home located in the Bloomfield area, enjoy what Bloomfield has to offer, walking distance to parks, this home offer open plan, tile floors, laminate flooring, nice kitchen, finish basement, seller still working on some repairs, nice curb appeal,seller needs a 30-45 days lease back please contact listing agent before writing an offer.","Measurements per county records buyers to verified, seller needs a 30-45 days lease back, looking for a replacement home",Partial,90,TRUE,552,Cellar,,,,,,,2 Story,Cedar Siding,Frame,,Composition Shingles,,,1987,,,,,,Mountain View,Westlake,Legacy,Adams 12 5 Star Schl,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,Southwest,,,,,,,,,,,,R-PUD,0.11,4656,,,,,,"Cash, Conventional, FHA, VA",HERITAGE TITLE,3000,,,"Refrigerator, Washer, Dryer",FALSE,2.80%,2.80%,TRUE,FALSE,Exclusive Agency,,2149,2015,FALSE,,24,24,1/30/2017 0:00,335000,Tony Martinez,14474,303-750-7070,tonymartinez@remax.net,RE/MAX Southeast Inc.,REM51,303-750-7070,7205737469,,PLEASE GIVE SELLERS ONE HOUR NOTICE FOR ANY SHOWINGS,1/30/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,,39.928112,-105.029131,42,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
1772732,2/22/2017 13:22,Detached Single Family,Active,334900,4114,,Broemel,Avenue,,,Broomfield,CO,80020,Broomfield,R0022611,Brandywine,,,2,3,0,1,0,1,0,1,0,2,1382,1382,1382,,County Records,242.33,242.33,242.33,,2,2,0,0,0,0,,Quick Possession,,"Cable Available, Double Pane Windows, Eating Space / Kitchen, Smoke Free, Vaulted, Window Coverings",,,"Carpet, Vinyl/Linoleum, Wood Floors","Dishwasher, Microwave Oven, Refrigerator (Kitchen), Smoke Alarm, Stove/Range/Oven",1,Wood,Living Room,Forced Air,Gas,Air Conditioning-Central,,"Covered Deck, Fence, Garden Area, Sprinkler System, Yard","Extremely well kept tri-level with new carpet, vaulted ceilings, eat-in kitchen, private backyard with sprinklers, spacious family room, newer exterior paint plus covered deck; all situated on a quiet street. Most perfect views of Broomfield's firework display.","Extremely well kept tri-level with new carpet, vaulted ceilings, eat-in kitchen, private backyard with sprinklers, spacious family room, newer exterior paint plus covered deck; all situated on a quiet street. Most perfect views of Broomfield's firework display. The seller reserves the right to accept an offer at any time. The plan is to have showings through Monday. Please submit your highest and best offer by 7:00 pm Monday 2/27 with a response time no sooner than Tuesday 2/28 at 5:00 pm.",None,,,,,,,,,,,Tri-Level,Wood Siding,Frame,Contemporary,Composition Shingles,,,1998,,,,,,Mountain View,Westlake,Legacy,Adams 12 5 Star Schl,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,North,,,,,,,,,,,,R-PUD,0.12,5050,Public,,,,Public,"Cash, Conventional, FHA, VA",RE/MAX NORTHWEST,3500,Fidelity Title,48-72 HOURS FROM DOD & SETTLEMENT,None,TRUE,2.80%,2.80%,TRUE,FALSE,Exclusive Right,,2114,2015,FALSE,,1,1,2/22/2017 0:00,334900,Darrin Goebel,318092,303-359-4494,goebel66@gmail.com,RE/MAX NORTHWEST INC,REM80,303-457-4800,303-457-4800,frontdesk2@coloradohomesales.com,Please call the office to schedule a showing or use showing time on line. Showings  begin Fri. 2/24 at 10am,2/22/2017 0:00,,,,,,,,,Individual,,,,,,,,,,,,http://www.VisualTour.com/showvt.asp?prt=33&t=3964483,39.928115,-105.04154,31,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
